slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bitcoin,BTC,Bitcoin,12/31/2023,1,37718.0096264496,44705.5150094178,37629.3589120492,42265.185654866,721704910476.24,827811209384.42,0.6551334762867533,7076.156097368599
bitcoin,BTC,Bitcoin,11/30/2023,1,34657.275324496,38415.3381982376,34133.4396153842,37712.7477716325,570863267378.05,737560917365.82,0.835916144903903,4281.898582853399
bitcoin,BTC,Bitcoin,10/31/2023,1,26967.3974331494,35150.4334987547,26558.320783999,34667.7793605467,476425634860.31,677047621125.28,0.943825907057864,8592.112714755698
bitcoin,BTC,Bitcoin,09/30/2023,1,25934.0208061586,27488.7638021952,24930.2974941684,26967.9163010637,337637313742.31,525885640459.76,0.7964219815999053,2558.4663080268
bitcoin,BTC,Bitcoin,08/31/2023,1,29230.8724049903,30176.7962374838,25409.1116027686,25931.4728933574,437724169499.52,504957555550.64,0.10956288651839574,4767.684634715199
bitcoin,BTC,Bitcoin,07/31/2023,1,30471.8475630488,31814.5148120678,28934.2941602457,29230.110878649,382224489087.03,568365621732.67,0.1027062694714587,2880.220651822099
bitcoin,BTC,Bitcoin,06/30/2023,1,27218.4123755644,31389.5381281357,24797.1678486154,30477.2512822446,481734214225.81,591758288455.82,0.8616147444379469,6592.370279520299
bitcoin,BTC,Bitcoin,05/31/2023,1,29227.1039819099,29820.1266220765,25878.428829536,27219.6586081109,443473015482.63,527773175252.01,0.34026702430438094,3941.697792540501
bitcoin,BTC,Bitcoin,04/30/2023,1,28473.3318011971,31005.6080444729,27070.8494995525,29268.8070431626,531060399718.28,566661285145.37,0.5586003609923068,3934.7585449204016
bitcoin,BTC,Bitcoin,03/31/2023,1,23150.9299581785,29159.9026178662,19628.2543094205,28478.4846056804,883299703607.68,550593053896.62,0.9285099502064073,9531.6483084457
bitcoin,BTC,Bitcoin,02/28/2023,1,23137.8351361505,25134.1173501961,21460.0885038644,23147.3533899085,723968574896.01,446846764116.35,0.459241055695231,3674.0288463316974
bitcoin,BTC,Bitcoin,01/31/2023,1,16547.9143978715,23919.8897614092,16521.233430529,23139.2839099123,690928920787.36,446082285297.19,0.8944935652384829,7398.6563308802
bitcoin,BTC,Bitcoin,12/31/2022,1,17168.0021376253,18318.530584361,16398.1362516753,16547.4953660162,567256839394.97,318516317872.25,0.077775231783786,1920.3943326857006
bitcoin,BTC,Bitcoin,11/30/2022,1,20494.8976229392,21446.8860966908,15599.0471753829,17168.5655484864,1224531549126.67,329997633644.39,0.26839288739377054,5847.838921307899
