timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-12-01T00:00:00.000Z";"2023-12-31T23:59:59.999Z";"2023-12-28T01:16:00.000Z";"2023-12-01T00:50:00.000Z";"2781";2052.0966666638;2445.0175392706;2046.5570347546;2281.4713016936;351655489426.27;274194287336.36;"2023-12-31T23:59:59.999Z"
"2023-11-01T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-10T04:58:00.000Z";"2023-11-03T01:19:00.000Z";"2781";1815.8720743879;2134.691403851;1779.6355583998;2052.5560758309;315824566885.52;246799826112.87;"2023-11-30T23:59:59.999Z"
"2023-10-01T00:00:00.000Z";"2023-10-31T23:59:59.999Z";"2023-10-26T08:04:00.000Z";"2023-10-12T17:07:00.000Z";"2781";1671.1615283017;1865.095261621;1523.2375682061;1816.4589317668;192662877048.77;218464638399.94;"2023-10-31T23:59:59.999Z"
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-30T15:47:00.000Z";"2023-09-11T20:02:00.000Z";"2781";1645.5813232205;1692.5311645215;1533.4267290521;1671.1618111903;134781867368;200935981760.42;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-02T01:34:00.000Z";"2023-08-17T21:45:00.000Z";"2781";1856.1901659675;1877.5115199178;1551.7132501336;1645.6391241321;168678383228.79;197831661218.49;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-14T01:07:00.000Z";"2023-07-07T00:04:00.000Z";"2781";1933.3238877329;2026.2049230768;1832.0254181354;1856.1623397384;177596680398.02;223070797299.17;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-30T17:45:00.000Z";"2023-06-15T09:32:00.000Z";"2781";1873.9147321964;1945.2743126905;1624.1383321295;1933.1889822154;206194132395.61;232408283870.42;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-06T00:37:00.000Z";"2023-05-12T05:53:00.000Z";"2781";1868.8910607926;2017.55948262;1742.4037545434;1874.1304352123;202326166172.3;225361512775.62;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-16T19:33:00.000Z";"2023-04-03T01:48:00.000Z";"2781";1821.7043535926;2137.4451201451;1765.5188951201;1876.9243269741;288661653168.76;225975170377.92;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-23T15:18:00.000Z";"2023-03-10T10:49:00.000Z";"2781";1606.0403815803;1853.8880031017;1378.5254019388;1822.0221185209;302468060876.75;219476732219.84;"2023-03-31T23:59:59.999Z"
